date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2021-07-16,25.76,22.89,39.17,94.92,2.5111,2021,7,July,28,Friday,1
2021-07-17,27.84,22.45,2.28,89.75,4.3284,2021,7,July,28,Saturday,1
2021-07-18,28.53,22.69,0.32,88.86,4.0308,2021,7,July,28,Sunday,0
2021-07-19,28.86,22.2,3.11,89.44,4.399,2021,7,July,29,Monday,1
2021-07-20,29.38,22.59,3.71,88.88,4.4275,2021,7,July,29,Tuesday,1
2021-07-21,28.81,22.69,3.51,89.72,3.7279,2021,7,July,29,Wednesday,1
2021-07-22,28.32,22.62,0.74,89.75,3.3046,2021,7,July,29,Thursday,0
2021-07-23,28.69,22.65,0.79,88.85,4.3063,2021,7,July,29,Friday,0
2021-07-24,27.44,21.23,0.41,90.22,5.3304,2021,7,July,29,Saturday,0
2021-07-25,28.85,20.4,0.83,87.94,4.6411,2021,7,July,29,Sunday,0
2021-07-26,28.44,21.18,0.29,88.2,4.303,2021,7,July,30,Monday,0
2021-07-27,27.73,21.23,0.65,89.15,4.5216,2021,7,July,30,Tuesday,0
2021-07-28,28.71,21.61,0.28,87.02,5.0458,2021,7,July,30,Wednesday,0
2021-07-29,29.31,21.22,0.28,86.14,4.3793,2021,7,July,30,Thursday,0
2021-07-30,28.35,21.78,5.37,89.29,4.4376,2021,7,July,30,Friday,1
2021-07-31,29.38,21.67,2.82,87.23,5.0789,2021,7,July,30,Saturday,1
2021-08-01,28.17,22.2,8.3,90.46,3.8268,2021,8,August,30,Sunday,1
2021-08-02,28.62,22.56,14.77,89.82,3.8374,2021,8,August,31,Monday,1
2021-08-03,28.79,23.01,30.68,89.37,4.1338,2021,8,August,31,Tuesday,1
2021-08-04,27.76,23.2,6.36,91.86,3.7063,2021,8,August,31,Wednesday,1
2021-08-05,26.6,22.81,6.21,93.33,3.6509,2021,8,August,31,Thursday,1
2021-08-06,28.06,22.67,2.26,90.04,4.4974,2021,8,August,31,Friday,1
2021-08-07,26.56,23.02,8.47,92.57,3.3127,2021,8,August,31,Saturday,1
2021-08-08,26.2,22.04,5.84,92.59,2.4658,2021,8,August,31,Sunday,1
2021-08-09,28.49,21.48,32.6,89.19,3.7087,2021,8,August,32,Monday,1
2021-08-10,28.02,22.36,25.27,91.15,3.503,2021,8,August,32,Tuesday,1
2021-08-11,27.98,22.81,41.46,91.38,1.7978,2021,8,August,32,Wednesday,1
2021-08-12,26.91,22.5,16.69,92.44,3.8623,2021,8,August,32,Thursday,1
